id,Summary,Status,Type,Priority,Milestone,Component
7463,theme.html not included when trac is at / URL.,new,defect,normal,next-stable-1.4.x,general
7484,Icons do not display when using High Contrast mode,new,defect,normal,unscheduled,rendering
7486,wrong space in diff output,new,defect,normal,next-stable-1.4.x,version control/changeset view
7573,base_url for many projects is painful,new,enhancement,normal,next-major-releases,general
7628,[PATCH] (suggested) autocomplete users on ticket forms,new,enhancement,normal,next-dev-1.7.x,general
7650,authz_policy.py - Support Trac groups,new,enhancement,normal,unscheduled,general
7680,Broken Error Reporting?,new,defect,normal,next-major-releases,rendering
7690,Add doctype supporting mathml,new,enhancement,normal,next-major-releases,rendering
7699,TracQuery documentation on Query Language operators is incorrect,new,defect,normal,next-major-releases,general
7721,Allow cascaded definition lists,new,enhancement,normal,topic-wikiengine,wiki system
7728,Realm URL resolve function needed Trac Plugins,new,enhancement,normal,topic-wikiengine,general
7739,trac & memcached,new,enhancement,normal,unscheduled,general
7747,timeline rss-feeds should be able to show diffs of wiki changes,new,enhancement,normal,next-major-releases,timeline
7784,[patch] Configurable accesskeys,new,enhancement,normal,unscheduled,general
7786,Removing existing ticket priorities makes tickets unrenderable in queries,new,defect,normal,next-stable-1.4.x,admin/web
7793,[PATCH] Mail notifications for a ticket with multiple owners / reporters,new,enhancement,normal,next-major-releases,notification
7818,"Removing items from Admin panel (Users, Milestones, etc) is possible without warning",new,enhancement,normal,unscheduled,admin/web
7850,[patch] Update default_<enum> options in trac.ini when enum value is updated/deleted,new,enhancement,normal,next-major-releases,ticket system
7855,Support CSS stylesheets in RSS,new,enhancement,normal,unscheduled,general
7867,"h,l keyboard shortcuts",new,enhancement,normal,next-major-releases,version control/browser
7872,"[Patch] Styling for ""Powered by"" footer element",new,enhancement,normal,next-major-releases,general
7884,Ticket should contain a field for the expected time to complete/fix it,new,enhancement,normal,next-major-releases,ticket system
7895,Issue: Custom Query Shows All Milestones Closed and Active,new,enhancement,normal,unscheduled,general
7898,[PATCH] Keep NavigationContributor Ordering,new,enhancement,normal,next-major-releases,general
7911,Optional validation for custom fields,new,enhancement,normal,unscheduled,ticket system
7918,Translation of Trac to Galician/Galego [gl_ES],new,task,normal,translations,i18n
7929,make links clickable in annotate view,new,enhancement,normal,next-major-releases,version control/browser
7975,Viewing changesets is very slow,new,defect,normal,next-stable-1.4.x,version control/changeset view
7990,Can't view plain text wiki links,new,enhancement,normal,next-major-releases,wiki system
8006,Non-Writable Python Egg Cache Directory causes mod_fastcgi to send an error 500 with Apache 2,new,defect,normal,next-stable-1.4.x,general
8008,Translation of Trac to Romanian/Română [ro_RO],new,task,normal,translations,i18n
8069,[PATCH] Support list of users as options list in ticket custom field,new,enhancement,normal,next-dev-1.7.x,ticket system
8094,Preview who will be notified,new,defect,normal,next-major-releases,notification
8130,Report execution failed using Dynamic variables,new,defect,normal,next-stable-1.4.x,report system
8146,Unified diff in changeset view differs from exported unified diff,new,defect,normal,next-major-releases,version control/changeset view
8163,Grouping owners,new,enhancement,normal,unscheduled,ticket system
8165,[PATCH] csv download doesn't process 'description' field,new,defect,normal,next-major-releases,report system
8219,[PATCH] Forward additional parameters from /report to /query,new,enhancement,normal,next-major-releases,report system
8294,[PATCH] Add GnuPG encryption to email notifications,new,enhancement,normal,unscheduled,notification
8328,Repeat SCRIPT_NAME fixup using SCRIPT_URL after environment selection,new,enhancement,normal,next-major-releases,web frontend
8332,trac-admin permission masks,new,enhancement,normal,unscheduled,admin/console
8335,Create People page with user profiles and status of who's doing what.,new,enhancement,normal,next-major-releases,general
8354,Report Query with dates,new,enhancement,normal,unscheduled,report system
8361,cannot find file trac-digest.py,new,defect,normal,next-major-releases,general
8371,need to view ticket-list of only tickets with unanswered updates,new,enhancement,normal,next-major-releases,report system
8380,Search In Report / Search In Query functionality,new,enhancement,normal,next-major-releases,search system
8387,Need method to view source code of RST files,new,enhancement,normal,next-major-releases,rendering
8403,Encourage users to select meaningful values for 'required' fields,new,enhancement,normal,next-major-releases,ticket system
8426,Unable to print any of the admin pages,new,defect,normal,next-major-releases,admin/web
8436,search results won't show matches from ticket comments,new,defect,normal,next-stable-1.4.x,search system
8477,Support SVN 1.5 merge tracking in Annotate view,new,enhancement,normal,unscheduled,version control/browser
8482,Proposal: Plugin update notification,new,enhancement,normal,next-major-releases,web frontend
8494,tracd doesn't reload file on import error,new,defect,normal,unscheduled,general
8504,Named Custom Queries,new,enhancement,normal,unscheduled,query system
8507,Developer WSGI Profiling and Debugging,new,enhancement,normal,next-major-releases,general
8519,internal SQL string matches are always case insensitive,new,defect,normal,next-major-releases,database backend
8526,SubWiki link & SubMapTxt page,new,enhancement,normal,next-major-releases,wiki system
8541,[patch] recursive auto-expansion of folders containing only one sub-directory,new,enhancement,normal,next-major-releases,version control/browser
8559,New Report: Tickets of Interest,new,enhancement,normal,next-major-releases,report system
8567,BLOB column can't be used in PRIMARY KEY and maximum ROW size is 8052 on NDB engine,new,defect,normal,unscheduled,database backend
8599,possibility to send complete tickets per mail (full history and attachments included),new,enhancement,normal,unscheduled,notification
8605,Allow non-authenticated users to replace their attachments,new,enhancement,normal,next-major-releases,attachment
8607,Option to skip notification to subscribers when a ticket is updated,new,enhancement,normal,next-major-releases,notification
8611,More flexible configuration of browser quickjump facility,new,enhancement,normal,unscheduled,version control/browser
8637,"""Add to CC"" for anonymous with TICKET_APPEND permissions",new,enhancement,normal,next-major-releases,ticket system
8639,"""View latest revision"" links to non-existent (404) page",new,defect,normal,next-stable-1.4.x,version control/browser
8640,Enable headline numbering,new,enhancement,normal,next-major-releases,wiki system
8653,[PATCH] Don't allow anonymous users to modify some fields,new,enhancement,normal,unscheduled,ticket system
8670,Ticket owner list should not depend on TICKET_MODIFY permission,new,enhancement,normal,next-major-releases,ticket system
8672,Filter ticket queries by user groups,new,enhancement,normal,next-major-releases,ticket system
8686,Export wiki documents in HTML format,new,enhancement,normal,topic-wikiengine,wiki system
8700,patch for trac-svn-post-commit-hook.cmd,new,defect,normal,next-stable-1.4.x,version control
8702,Different workflows when viewing own tickets/others tickets,new,enhancement,normal,unscheduled,ticket system
8707,ValueError: invalid literal for int() with base 10: '25.09.2009',new,defect,normal,next-stable-1.4.x,report system
8708,Operational Error: database is locked,new,defect,normal,next-stable-1.4.x,database backend
8728,add Closed Date to list of columns offered in custom query,new,enhancement,normal,next-major-releases,query system
8729,add Latest Comment option to custom query,new,enhancement,normal,next-major-releases,report system
8735,wiki import should maintain page hierarchy,new,enhancement,normal,next-major-releases,wiki system
8736,Boundary of background does not encompass intended fields.,new,defect,normal,unscheduled,ticket system
8851,RSS of Trac projects for Live Bookmark,new,enhancement,normal,unscheduled,web frontend
8945,[PATCH] Send Notification Email with local timezone,new,enhancement,normal,next-major-releases,notification
8949,add sortable tables to wiki,new,enhancement,normal,next-major-releases,wiki system
8952,trac-admin hotcopy should (be able to) copy contents of symbolic links,new,enhancement,normal,next-major-releases,admin/console
8961,[PATCH] Linkable lines on diff view,new,enhancement,normal,next-major-releases,wiki system
8967,Partial conversion of files when calling trac.mimeview.api.Mimeview.convert_content,new,defect,normal,next-major-releases,rendering
9006,"Tickets remain in query list until clicking ""Update""",new,defect,normal,next-stable-1.4.x,report system
9018,View permission description in popup,new,enhancement,normal,unscheduled,admin/web
9039,Search within changeset contents(diffs),new,enhancement,normal,unscheduled,search system
9045,Add support for RTL languages,new,enhancement,normal,translations,i18n
9082,Error sending email when smtp_default_domain and/or smtp_from contain unicode,new,defect,normal,unscheduled,notification
9085,Notification system silently drops failures to unicode email addresses,new,enhancement,normal,next-major-releases,notification
9091,Use RawConfigParser instead of ConfigParser in the Configuration component,new,enhancement,normal,next-major-releases,general
9123,WikiFormatting in link text does not work,new,enhancement,normal,next-major-releases,wiki system
9124,Request-URI Too Large,new,defect,normal,next-stable-1.4.x,general
9137,Improper display of negative time difference,new,defect,normal,next-stable-1.4.x,timeline
9140,patch renderer should handle added binary files in GIT binary diffs,new,defect,normal,next-stable-1.4.x,rendering
9141,'Retarget associated tickets' does not respect [milestone-groups] config,new,defect,normal,next-major-releases,roadmap
9149,Conf option for showing previous query instead of default query,new,enhancement,normal,next-major-releases,ticket system
9164,Second categorie for grouping tickets,new,enhancement,normal,unscheduled,report system
9168,milestone URL persistence,new,enhancement,normal,next-major-releases,roadmap
9172,Trac diff highlighting start and end points,new,enhancement,normal,next-major-releases,version control/changeset view
9205,Make the timeline threaded,new,enhancement,normal,next-major-releases,timeline
9208,Support for SVN repository on a UNC path on Windows,new,defect,normal,unscheduled,version control
9214,expandable blockquotes,new,enhancement,normal,next-major-releases,wiki system
9222,"""full delete"" of wiki page could be a non-fatal operation",new,enhancement,normal,next-dev-1.7.x,wiki system
9248,Trac as reST editor,new,enhancement,normal,next-major-releases,wiki system
9251,Unable to escape number list,new,defect,normal,topic-wikiengine,wiki system
9255,Links from reports do not support dynamic variables,new,defect,normal,unscheduled,report system
9281,Allow IAttachmentManipulator to easily check on the uploaded attachment's file data,new,enhancement,normal,next-major-releases,attachment
9289,Permissions for custom ticket fields,new,enhancement,normal,unscheduled,ticket system
9298,"IntegrityError: duplicate key value violates unique constraint ""session_attribute_pk""",new,defect,normal,next-stable-1.4.x,general
9310,Allow cookies be set for textarea heights upon resize and restore upon document load,new,enhancement,normal,next-major-releases,general
9331,trac-admin should upgrade static files in environment,new,enhancement,normal,next-dev-1.7.x,admin/console
9343,"Because Trac support for multiple repos, each repo with a related encoding.",new,enhancement,normal,next-major-releases,version control
9355,"authzpolicy FineGrainedPermissions: configuration file order matters, but more/less specific patterns don't",new,defect,normal,unscheduled,web frontend
9379,Links to timeline are used even if the user does not have permission to view timeline,new,defect,normal,unscheduled,timeline
9383,Integrate LXR into source code view,new,enhancement,normal,unscheduled,rendering
9385,line-referencing wiki links,new,enhancement,normal,unscheduled,wiki system
9399,Specify tablespace when connecting to postgresql,new,defect,normal,unscheduled,general
9443,"Dropdown list on ""View tickets""",new,enhancement,normal,next-major-releases,report system
9448,Copy link to wiki page or attachment in TracLinks format,new,enhancement,normal,unscheduled,general
9463,Unable to edit components with slash or backslash,new,defect,normal,unscheduled,admin/web
9472,Workflow actions not translated,new,enhancement,normal,next-major-releases,i18n
9478,Concurrent ticket modifications is still possible,new,defect,normal,next-major-releases,ticket system
9495,CommitTicketUpdater - git and replayed commits,new,enhancement,normal,unscheduled,ticket system
9505,Missing feature from ticket query module: color tickets based on contents of field,new,enhancement,normal,unscheduled,ticket system
9510,Action block stays visible when no actions available,new,defect,normal,next-major-releases,ticket system
9526,Fine Grained Permission possible realms and paths format are not documented.,new,defect,normal,next-major-releases,wiki system
9528,Failed to highlight active mainnav item if `RepositoryManager` is enabled,new,defect,normal,next-stable-1.4.x,web frontend
9537,to implement cherry-picking for wiki pages,new,enhancement,normal,next-major-releases,wiki system
9539,Attachments do not change Last Modified Time,new,defect,normal,next-major-releases,attachment
9550,Ticket should be divisible,new,enhancement,normal,next-major-releases,ticket system
9554,plain text download of wiki pages reveals comments not meant for public consumption,new,enhancement,normal,next-major-releases,wiki system
9579,sudo-like behavior for users,new,enhancement,normal,unscheduled,general
9584,Binary files fail to download over SSL using Internet Explorer (IE),new,defect,normal,unscheduled,general
9618,WIKI_VIEW_SOURCE privilege,new,enhancement,normal,unscheduled,wiki system
9638,Submit forms with CTRL+Enter in textareas,new,enhancement,normal,next-major-releases,web frontend
9642,Resizable textarea for the attachment description,new,enhancement,normal,next-major-releases,attachment
9646,[PATCH] Highlight selected line when #L123 is used in source browser,new,enhancement,normal,next-major-releases,version control/browser
9653,tracd --base-path matches any string of the same length,new,defect,normal,next-major-releases,web frontend/tracd
9655,Source code navigation in browser,new,enhancement,normal,next-major-releases,version control/browser
9673,Some TracIni settings should be user configurable,new,enhancement,normal,next-major-releases,general
9674,[PATCH] trac.ini parameterization support,new,enhancement,normal,next-major-releases,general
9677,Expanding an alias repository sets the hash to the aliased repository,new,defect,normal,next-stable-1.4.x,version control/browser
9683,Make htdocs_location more useful,new,enhancement,normal,next-major-releases,web frontend
9688,Preformatted text in definition list rendered wrongly,new,defect,normal,topic-wikiengine,wiki system
9702,Add trac.ini web editor,new,enhancement,normal,unscheduled,admin/web
9704,Support for subrepositories mercurial extension,new,enhancement,normal,plugin - mercurial,plugin/mercurial
9706,New ticket_change class: commit,new,enhancement,normal,unscheduled,ticket system
9707,search ticket does not work when query for both subject keyword and comment keyword,new,defect,normal,next-major-releases,search system
9730,Allow adding comments to source in browser,new,enhancement,normal,unscheduled,version control/browser
9734,Redirecting to non-HTTP URLs not possible,new,defect,normal,next-major-releases,general
9735,TicketQuery adds reporter by default,new,defect,normal,next-major-releases,ticket system
9736,Add an AND operator to ticket query syntax,new,enhancement,normal,unscheduled,query system
9738,"Add ""attach file"" button at the end of the ticket",new,enhancement,normal,next-major-releases,ticket system
9740,Impossible to CC a username with spaces,new,defect,normal,1.6.1,ticket system
9755,milestone name containing spaces breaks milestone editing within roadmap view and admin module,new,defect,normal,unscheduled,general
9756,TicketQuery should count groups if grouping is used,new,enhancement,normal,unscheduled,general
9771,Undocumented/unintended?  Max preview size limited by wiki max page size,new,defect,normal,next-stable-1.4.x,attachment
9775,implement get_path_history in the versioncontrol cache,new,defect,normal,next-major-releases,version control/log view
9807,Wrong sections are collapsed by default!,new,enhancement,normal,next-major-releases,ticket system
9843,Non existing Wiki pages should return 404.,new,defect,normal,next-major-releases,general
9852,Mercurial plugin support for pulling repository description from hgrc,new,enhancement,normal,plugin - mercurial,plugin/mercurial
9854,Jump to first change in wiki preview,new,enhancement,normal,unscheduled,general
9868,Impossible to see the changelog of a branch using Mercurial,new,defect,normal,next-major-releases,version control/log view
9871,error occurs when upload an attachment with size of about 800M in a ticket,new,defect,normal,next-stable-1.4.x,general
9874,using a custom query to harvest email addresses,new,defect,normal,unscheduled,general
9930,Allow configuration of ticket query cache time,new,enhancement,normal,unscheduled,ticket system
9938,Improve on static resources,new,enhancement,normal,next-major-releases,web frontend
9947,Unexpected resolver result for TracLinks in wiki page within hierarchy,new,defect,normal,next-major-releases,wiki system
9960,Sometimes exception after killing tracd,new,defect,normal,unscheduled,general
9967,Allow setting option values through Option objects,new,enhancement,normal,next-major-releases,general
9971,"cannot unsubscribe from bug, no way, no how",new,defect,normal,next-stable-1.4.x,notification
9978,Guard against pkg_resources.resource_filename errors,new,defect,normal,next-major-releases,general
9979,[PATCH] Single changeset resync fails if changesets are missing,new,defect,normal,next-major-releases,version control
10023,Trac notification + Exchange 2010,new,enhancement,normal,unscheduled,notification
10027,TicketQuery groups without translation,new,defect,normal,next-major-releases,ticket system
10032,Wiki page mouse hover tooltip,new,enhancement,normal,next-major-releases,wiki system
10040,Support for integer/float custom fields,new,enhancement,normal,next-dev-1.7.x,ticket system
10047,Add RSS support for Roadmap,new,enhancement,normal,next-major-releases,roadmap
10058,Highlight locked files in repository browser,new,enhancement,normal,unscheduled,version control/browser
10059,prop.rendered not properly set in browser.html,new,defect,normal,next-major-releases,version control/browser
10079,improper rendering of svn:externals when not configured,new,defect,normal,undecided,version control/browser
10091,Exception when formatting Mercurial changeset link,new,defect,normal,next-major-releases,plugin/mercurial
10101,Broken permissions for changeset view,new,defect,normal,next-major-releases,version control/changeset view
10125,CommitTicketUpdater should call manipulators and listeners,new,enhancement,normal,next-major-releases,ticket system
10201,[Patch] WikiProcessors lacks detailed help,new,enhancement,normal,next-major-releases,wiki system
10239,Enhancement: set default_owner from WebAdmin `Components`,new,enhancement,normal,next-dev-1.7.x,admin/web
10305,Incomplete URL sent to Akismet API,new,defect,normal,next-major-releases,web frontend
10433,bootstrap script for Trac development,new,enhancement,normal,next-stable-1.4.x,general
10465,Counting of Ticket-Comments defect,new,defect,normal,next-stable-1.4.x,ticket system
10672,Automatically minify Javascript and CSS,new,enhancement,normal,next-dev-1.7.x,general
10730,Provide Git hooks to call trac-admin,new,enhancement,normal,next-stable-1.4.x,plugin/git
10733,Renamed files and prev/next links don't work well,new,defect,normal,next-major-releases,version control
10741,"more readable ""closed"" style",new,defect,normal,next-major-releases,general
10755,CommitTicketUpdater does not allow user to define what state to jump to,new,enhancement,normal,next-major-releases,ticket system
10763,fix changeset search results,new,defect,normal,next-stable-1.4.x,version control
10764,refactor changeset search,new,defect,normal,next-major-releases,version control
10884,trac-admin repository resync fails with TypeError : int argument required,new,defect,normal,next-stable-1.4.x,version control
11046,Reloading a page in the source browser redirects to another file,new,defect,normal,next-stable-1.4.x,version control/browser
