id,Summary,Status,Type,Priority,Milestone,Component
2717,Create window title on wiki pages from = The title =,new,enhancement,low,topic-wikiengine,wiki system
2956,Upload files to the repository,new,enhancement,low,next-major-releases,version control/browser
3062,[PATCH] tracd should log to syslog when daemonized,new,enhancement,low,unscheduled,web frontend/tracd
3153,Include tickets without milestone in iCal,new,enhancement,low,next-major-releases,ticket system
3249,Default env with parent_dir,new,enhancement,low,next-major-releases,general
3255,Context-sensitive new ticket prefill,new,enhancement,low,next-major-releases,ticket system
3335,Improve the rendering of the wiki syntax for citations,new,enhancement,low,next-major-releases,wiki system
3416,IFrame,new,defect,low,next-major-releases,wiki system
3734,Provide Possibility to 'freeze' a Milestone,new,enhancement,low,next-major-releases,ticket system
4033,exceptions.RuntimeError: Application didn't call startResponse before writing data!,new,defect,low,next-stable-1.4.x,web frontend
4279,add a plugin to comment on a page,new,enhancement,low,next-major-releases,wiki system
4329,diff does not treat TAB as whitespace,new,defect,low,unscheduled,version control/browser
4374,Custom Tickets Select Box Auto-generation,new,enhancement,low,next-major-releases,ticket system
4439,PageOutline macro produces empty <li> elements,new,defect,low,topic-wikiengine,wiki system
4452,Graphical bar/pie charts for statistics viewing,new,enhancement,low,unscheduled,general
4695,Icons for InterTrac and InterWiki links,new,enhancement,low,next-major-releases,wiki system
4827,TracPermissions to access WebAdmin should be more fine-grained,new,enhancement,low,next-major-releases,admin/web
4980,"configurable default value for ""Group results by"" in Milestone view",new,enhancement,low,next-major-releases,roadmap
5010,shutdown hook for plugins,new,enhancement,low,next-major-releases,general
5119,"zip source download link should support ""current version""",new,enhancement,low,next-major-releases,version control/browser
5170,max_diff_bytes should be honored even if only one file has changed,new,enhancement,low,next-major-releases,version control/changeset view
5227,provide option to insert summary in a ticket link,new,enhancement,low,next-major-releases,wiki system
5382,improve storage of binary content in the database,new,enhancement,low,next-major-releases,database backend
5420,EOL changes hidden in changeset view,new,defect,low,next-major-releases,version control/changeset view
5498,Use #. as a wiki markup for ordered list,new,enhancement,low,next-major-releases,wiki system
5663,Suggestions for Ticket Reports,new,enhancement,low,next-major-releases,ticket system
5755,Multiple Milestone Dates,new,enhancement,low,next-major-releases,roadmap
5820,[PATCH] standalone trac does not support IPv6,new,defect,low,next-stable-1.4.x,web frontend/tracd
5821,Wiki blame support,new,enhancement,low,next-major-releases,wiki system
5866,"[patch] Workflow tweak: handle ""not-state"" transition specifications",new,enhancement,low,unscheduled,ticket system
5933,"Add search options for ""match case"" and ""match whole word""",new,defect,low,next-major-releases,search system
6009,colons in revision identifiers,new,enhancement,low,next-major-releases,version control
6078,[PATCH] Enabling multiple email notification for a single user.,new,enhancement,low,unscheduled,notification
6107,"to ""watch"" a milestone",new,enhancement,low,next-major-releases,notification
6118,[patch] Add extension point for Session modification,new,enhancement,low,next-major-releases,general
6128,[Patch] Pagination for the Timeline,new,enhancement,low,next-major-releases,timeline
6145,Query correlation with SVN commits,new,enhancement,low,next-major-releases,general
6232,Setting different completion ratios on different ticket states in [milestone-groups],new,enhancement,low,next-major-releases,roadmap
6424,Next/previous diff support,new,enhancement,low,next-major-releases,version control/changeset view
6473,Negative revisions for changeset,new,enhancement,low,unscheduled,version control/changeset view
6556,RSS feed is not valid,new,defect,low,unscheduled,report system
6623,"emitting invalid xml:space=""preserve"" attributes on wiki and ticket pages (causes failed W3C validation)",new,defect,low,next-major-releases,wiki system
6709,Extended 'view diff' feature does not update the browsing position,new,enhancement,low,next-major-releases,version control/changeset view
6863,Included wiki page makes web research irrelevant,new,enhancement,low,next-major-releases,wiki system
6904,Annotate Does not show full user name.,new,defect,low,next-major-releases,version control
7059,Use webcal:// for Outlook 2007 iCalendar compatability,new,enhancement,low,unscheduled,roadmap
7215,Default to base_path if SCRIPT_NAME not set for tracd,new,enhancement,low,next-major-releases,web frontend/tracd
7529,More extension points for reports,new,enhancement,low,unscheduled,report system
7558,"New TracQuery match operator for ""contains the word"" would be useful",new,enhancement,low,next-major-releases,ticket system
7617,Various ticket fields don't like leading or trailing /,new,defect,low,next-stable-1.4.x,ticket system
7724,Allow user provided mime-type for attachments,new,enhancement,low,next-major-releases,attachment
8005,syntax coloring in existing tickets stopped working,new,defect,low,unscheduled,rendering
8088,"Allow a WikiFormatted Custom Ticket Field Parse Through the Wiki Engine in Reports, without Using 'Magic' Column Name",new,enhancement,low,next-major-releases,report system
8223,Mozilla/Firefox displaying images through html processor,new,defect,low,next-major-releases,wiki system
8480,[patch] Add relative date info to timeline,new,enhancement,low,unscheduled,timeline
8677,Ability to follow/unfollow a ticket,new,enhancement,low,next-major-releases,ticket system
8681,[PATCH] Allow adding usernames to a ticket CC list,new,enhancement,low,next-major-releases,ticket system
8727,cannot create TracLinks to attachments with number sign in file name,new,defect,low,next-major-releases,wiki system
8829,[Patch] Make Trac work on all platforms with environment paths containing non-ASCII characters,new,defect,low,next-stable-1.4.x,admin/console
8933,unfavourable German translations,new,defect,low,translations,i18n
8989,Milestones should have a 'Back to Roadmap' link in the contextual navigation,new,enhancement,low,next-dev-1.7.x,roadmap
9046,Cannot create a TracLink to heading in ticket description,new,defect,low,next-major-releases,wiki system
9048,Wiki history empty if end revision precedes start revision,new,defect,low,next-major-releases,wiki system
9073,Allow milestones on roadmap to be folded,new,enhancement,low,next-major-releases,roadmap
9125,Report rendering needs some general overhaul,new,enhancement,low,next-major-releases,report system
9129,"TypeError: expecting datetime, int, long, float, or None; got <class 'genshi.template.eval.Undefined'>",new,defect,low,next-major-releases,version control
9263,"if SVN is used, milestone should manage/allowtoassign links for branch and tag",new,enhancement,low,next-major-releases,roadmap
9265,Display HEAD when browsing latest revision,new,enhancement,low,unscheduled,version control/browser
9457,Unsubmitted comments lost after attaching files,new,enhancement,low,unscheduled,ticket system
9601,Disallow robot navigation for edit pages,new,defect,low,next-major-releases,wiki system
9617,Private user-specific saved ticket queries,new,enhancement,low,next-major-releases,report system
9621,Display problem with side by side diff and ignore blank lines,new,defect,low,next-major-releases,version control/changeset view
9650,"""Cache-Control: must-revalidate"" means shared cache",new,defect,low,unscheduled,web frontend
9946,CommitTicketUpdater does not honor wiki_format_messages setting,new,defect,low,next-major-releases,version control/changeset view
10021,Rendering of URI samples,new,defect,low,unscheduled,wiki system
10049,Trac-admin should permit issue or task creation,new,enhancement,low,next-major-releases,admin/console
10075,non-terminated Wiki Markups also markup the rest of the page.,new,defect,low,topic-wikiengine,general
10480,forward slash in repository name causes errors,new,defect,low,next-stable-1.4.x,version control/browser
10945,"horizontal scrollbar in ""editing wiki"" textareas",new,enhancement,low,next-major-releases,wiki system
10966,"IntegrityError: columns sid, authenticated, name are not unique",new,defect,low,next-stable-1.4.x,general
11493,Add config option to show changeset files in ticket's comment,new,enhancement,low,next-major-releases,ticket system
329,Adding support for Microsoft SQL Server as a backend DB,new,enhancement,lowest,unscheduled,database backend
781,svn:log editing,new,enhancement,lowest,next-major-releases,version control/changeset view
976,Wiki Page redirects to other Wiki pages and possibly other Trac resources,new,enhancement,lowest,next-major-releases,wiki system
1069,"query by example (e.g. when creating a new ticket, check for similar tickets)",new,enhancement,lowest,next-major-releases,ticket system
1245,Highlight changes of a wiki page since last visit,new,enhancement,lowest,next-major-releases,wiki system
1278,attaching file to wiki page does not register as changed page,new,defect,lowest,next-major-releases,attachment
1424,MediaWiki-style table syntax support,new,enhancement,lowest,next-major-releases,wiki system
1445,[ER] Revision Graph for the Version Control Browser,new,enhancement,lowest,next-major-releases,version control/log view
1465,Trac could use a distributed VCS storage,new,enhancement,lowest,next-major-releases,wiki system
1514,Mantis conversion script,new,enhancement,lowest,next-major-releases,ticket system
1549,Save/restore/add reports via trac-admin,new,enhancement,lowest,unscheduled,report system
1678,Show component view in timeline view for checkins,new,enhancement,lowest,next-major-releases,timeline
2644,Link to ticket query page from search page,new,enhancement,lowest,unscheduled,search system
3006,Want to be able to merge tickets,new,enhancement,lowest,next-major-releases,ticket system
3257,Indicate recently updated items,new,enhancement,lowest,unscheduled,general
4636,Component field sort order doesn't use locale,new,defect,lowest,next-major-releases,ticket system
4760,"""Newer revisions"" link",new,enhancement,lowest,next-major-releases,version control/log view
4798,permission groups in Grant Action Field,new,enhancement,lowest,unscheduled,admin/web
5912,Offline mode using HTML5 Web Storage,new,enhancement,lowest,next-major-releases,general
6014,"Pre/Post processing of the attachments (compression,virus-check,etc)",new,enhancement,lowest,unscheduled,attachment
6101,browsing folder with too many files should use paging,new,defect,lowest,next-major-releases,version control/browser
6947,Change in colouring scheme for nested replies in the ticket,new,enhancement,lowest,next-major-releases,wiki system
7022,Reports Organizer,new,enhancement,lowest,next-major-releases,report system
7071,keyboard nav implementation,new,enhancement,lowest,next-major-releases,version control/browser
7361,"Error in Wiki Rendering if Colon "":"" is used with a word and quote mark",new,defect,lowest,next-major-releases,wiki system
7651,Allow wildcards in permission add/remove,new,enhancement,lowest,unscheduled,admin/web
8058,Smarter db connection pool,new,enhancement,lowest,next-major-releases,general
8383,Render baetle as RDFa on ticket pages,new,enhancement,lowest,next-major-releases,web frontend
9055,Auto numbering in wiki tables,new,enhancement,lowest,next-major-releases,wiki system
9127,Drag and drop attachments,new,enhancement,lowest,next-major-releases,attachment
9131,Customisation of default field labels,new,enhancement,lowest,next-major-releases,general
9157,backtrace in attachment description,new,defect,lowest,next-major-releases,attachment
9216,changeset hook for wiki pages,new,enhancement,lowest,next-major-releases,wiki system
9296,Wiki autocompletion for TracLinks,new,enhancement,lowest,next-major-releases,wiki system
9602,[PATCH] auto-reload fail by design,new,defect,lowest,unscheduled,general
9689,Links on  SVG images do not work,new,defect,lowest,next-major-releases,rendering
9897,'>' cannot be properly escaped,new,defect,lowest,next-major-releases,wiki system
886,Add support for Master tickets,new,enhancement,highest,next-major-releases,ticket system
1,Add a new project summary module.,new,enhancement,high,topic-multiproject,general
31,Bug dependencies/relations feature,new,enhancement,high,next-major-releases,ticket system
38,Wiki edit event collapsing,new,enhancement,high,unscheduled,timeline
4588,User Page: trac links to these pages,new,enhancement,high,next-major-releases,general
6217,New notification/cc scheme - notification preferences per ticket,new,enhancement,high,unscheduled,notification
7687,"Add support for svn:externals ""1.5"" style",new,defect,high,next-stable-1.4.x,version control/browser
10267,Version controls diffs of large text files kill the system,new,defect,high,next-dev-1.7.x,version control/changeset view
10665,Search through all text fields,new,defect,high,next-major-releases,search system
10699,trac-admin - ticket export import,new,defect,high,next-major-releases,admin/console
11719,"Auto-preview breaks TicketExt plugin, possibily others",new,defect,high,next-major-releases,ticket system
13129,trac-admin resync leaks memory,new,defect,high,next-stable-1.4.x,version control
1660,Patch to get email notification (with diff) of wiki changes,new,enhancement,normal,1.7.1,notification
2130,Sort Milestones in Roadmap and NewTicket alphabetically (as an option),new,enhancement,normal,next-major-releases,roadmap
2299,Ability to override SCRIPT_NAME from base_url,new,defect,normal,unscheduled,general
5487,Translation of Trac to Swedish/Svenska [sv],new,task,normal,translations,i18n
6953,trac has locale problem,new,defect,normal,not applicable,general
7342,Add filter parameters to milestone view,new,enhancement,normal,unscheduled,roadmap
7353,Translation of Trac to Catalan/Català [ca],new,task,normal,translations,i18n
7417,Translation of Trac to English [en_GB],new,task,normal,translations,i18n
7454,Query timeouts with PG result in traceback,new,defect,normal,next-stable-1.4.x,search system
7578,Translation of Trac to Estonian/eesti [et_EE],new,task,normal,translations,i18n
7608,Private ticket permission users can get ticket counts that include tickets they're not allowed to view,new,defect,normal,next-major-releases,report system
7660,Be able to search for commenters by name,new,enhancement,normal,next-major-releases,ticket system
7820,[PATCH] Syslog Logging Not Working on FreeBSD,new,defect,normal,next-dev-1.7.x,general
9259,Translations to Esperanto [eo],new,enhancement,normal,translations,i18n
9624,Project-specific ticket prefixes and numbering,new,enhancement,normal,topic-multiproject,ticket system
10112,notifications strip slashes from email addresses,new,defect,normal,next-stable-1.4.x,notification
10118,(almost patch) make browser quickjump dropdown context sensitive,new,enhancement,normal,unscheduled,version control/browser
10136,Way to configure by default displayed branch,new,enhancement,normal,plugin - mercurial,plugin/mercurial
10150,Plugin installation errors should be shown on admin page,new,enhancement,normal,next-major-releases,admin/web
10152,"Custom Query - ""and"" becomes ""or""",new,defect,normal,next-major-releases,query system
10159,Allow admin to prevent display of traceback on error page,new,defect,normal,unscheduled,general
10162,Add a REPOS kind of Node,new,defect,normal,next-major-releases,version control
10167,"Column ""Date"" in Change History of a Wiki Page",new,enhancement,normal,next-major-releases,wiki system
10168,trac generates error 500 in case no prermission to conf/trac.ini,new,defect,normal,next-major-releases,general
10182,Unit tests do not run in their own sandbox,new,enhancement,normal,next-major-releases,general
10183,How to browser sources which folders have been changed and/or removed?,new,defect,normal,next-major-releases,version control/browser
10185,"Roadmap view doesn't cache ""Show completed milestones""",new,defect,normal,next-major-releases,roadmap
10202,TracQuery fails to handle checkbox custom fields,new,defect,normal,next-major-releases,query system
10203,[PATCH] AuthzPolicy to allow multiple user/group permissions,new,enhancement,normal,undecided,general
10217,Portal Trac,new,enhancement,normal,unscheduled,general
10232,Validating Ticket accounts for new or removed fields?,new,defect,normal,next-stable-1.4.x,ticket system
10250,tracQuery does not support count,new,enhancement,normal,unscheduled,general
10268,"Search needs option for required words, logical operations, ignore words, etc",new,enhancement,normal,unscheduled,search system
10279,Sort admin page milestone table by descending due date,new,defect,normal,next-major-releases,admin/web
10286,Way to query all tickets with attachments,new,enhancement,normal,next-major-releases,query system
10311,improve ticket change hints in custom query,new,defect,normal,next-major-releases,query system
10312,Multiple sub tables are not correctly processed by the WikiProcessor,new,enhancement,normal,topic-wikiengine,wiki system
10317,"log?rev=N&stop_rev=N-1&limit=2 only shows a single revision, but should show two revisions",new,defect,normal,next-major-releases,version control/log view
10323,Enable sorting in TitleIndex macro,new,enhancement,normal,next-major-releases,wiki system
10325,Way to delete ticket comments versions,new,enhancement,normal,next-major-releases,ticket system
10334,Privilege for viewing Wiki page history,new,enhancement,normal,unscheduled,wiki system
10339,"Created, Modified and Ticket columns are not translated in SQL reports",new,defect,normal,next-stable-1.4.x,general
10350,e.g. [#1234] in svn commit 5678 comment generates wrong Trac link,new,enhancement,normal,next-major-releases,wiki system
10372,Search in wiki should prioritize title matches and whole word matches above partial word matches,new,enhancement,normal,next-major-releases,search system
10376,Opening a link in a new window?,new,enhancement,normal,next-major-releases,wiki system
10381,"Use full width for custom textarea fields, and make them collapsible",new,enhancement,normal,next-major-releases,ticket system
10383,When looking at a list of tickets I should be able to move the mouse pointer over the summary (mouse-over) and see the ticket's description,new,enhancement,normal,unscheduled,general
10396,"[PATCH] New extension point interface to reformat the ""replying to"" block in a comment",new,enhancement,normal,next-major-releases,ticket system
10409,Link to list of supported macros/processors on error,new,enhancement,normal,next-major-releases,rendering
10411,Enhancing TracMercurial plugin to use new server-command protocol,new,enhancement,normal,plugin - mercurial,plugin/mercurial
10413,[PATCH] Descriptive component names in trac.log,new,enhancement,normal,next-major-releases,general
10421,RuntimeError: instance.__dict__ not accessible in restricted mode,new,defect,normal,not applicable,general
10423,Destroy trac.ini at race condition.,new,defect,normal,next-major-releases,admin/web
10425,[PATCH] Add support for configuring a default set of columns to show in a query.,new,enhancement,normal,next-major-releases,query system
10426,Refactor pre-commit-hook to handle post-commit-hook features,new,task,normal,unscheduled,version control
10447,install blockdiag family on t.e.o.,new,enhancement,normal,not applicable,project
10450,Do not linewrap long URLs in text emails,new,defect,normal,undecided,notification
10455,A repository hides a directory which has the same name in default repository,new,defect,normal,next-major-releases,version control/browser
10464,Option to specify status list which will be retargeted when closing milestone,new,enhancement,normal,unscheduled,roadmap
10492,bash tab completion extension for trac-admin,new,enhancement,normal,next-major-releases,admin/console
10517,several tracd.exe on the same port on windows,new,defect,normal,unscheduled,web frontend/tracd
10523,TitleIndex: add option 'show_title' to display first level heading,new,enhancement,normal,topic-wikiengine,wiki system
10525,TicketQuery macro broken for some keywords-based queries,new,defect,normal,next-major-releases,query system
10531,Annotate in changeset diff view,new,enhancement,normal,unscheduled,version control/changeset view
10532,Show word diff when summary changes (instead of <old value> to <new value>),new,enhancement,normal,next-dev-1.7.x,ticket system
10539,intertrac links not working properly with diff,new,defect,normal,next-stable-1.4.x,wiki system
10543,Make mainnav entries customizable through user preference page,new,enhancement,normal,undecided,general
10544,Support better readable date/time format instead of/in addition to strict ISO 8601,new,enhancement,normal,unscheduled,general
10554,Cleanup when wsgi.run_once is set in trac.web.main.py,new,defect,normal,undecided,web frontend
10556,"Show completed, uncompleted, or all Milestones in a query",new,enhancement,normal,undecided,query system
10579,"Do not use ""anonymous"" updater's email in ticket notification From",new,enhancement,normal,next-major-releases,notification
10599,"GitPlugin: Show branches in timeline, changesets, browser",new,enhancement,normal,next-major-releases,plugin/git
10606,GitPlugin: Improve performance,new,enhancement,normal,next-dev-1.7.x,plugin/git
10633,TicketQuery 'clist' format,new,enhancement,normal,next-major-releases,wiki system
10640,Mercurial user aliases,new,enhancement,normal,undecided,plugin/mercurial
10670,Image macro references inconsistent with attachment links,new,enhancement,normal,next-major-releases,wiki system
10681,commit_updater.py create wrong comment number,new,defect,normal,undecided,ticket system
10682,Show the path of changesets in log view,new,enhancement,normal,next-major-releases,version control/log view
10704,Plugin should ignore commits/revisions not in heads or tags,new,enhancement,normal,next-stable-1.4.x,plugin/git
10719,"Abort: cannot follow file not in parent revision: ""tracext/hg/backend.py""",new,defect,normal,plugin - mercurial,plugin/mercurial
10734,``` as a {{{ alternative,new,enhancement,normal,topic-wikiengine,wiki system
10736,env.get_known_users() should also return session.last_visit,new,enhancement,normal,next-major-releases,general
10739,Give Trac a sidebar widget provider,new,enhancement,normal,next-major-releases,web frontend
10757,Use language specific starting day for date picker,new,enhancement,normal,next-major-releases,i18n
10802,Cleanup Javascript code,new,task,normal,next-dev-1.7.x,general
10813,diff view (tabular) whitespace off-by-one mistake,new,defect,normal,next-stable-1.4.x,version control/changeset view
10847,contrib/trac-svn-hook to support TRAC_PARENT_ENV,new,enhancement,normal,next-stable-1.4.x,version control
10852,Hooks for custom Javascript after expanding/collapsing an element,new,enhancement,normal,next-stable-1.4.x,general
10866,"custom search query cannot do ""keywords contains x and y""",new,defect,normal,next-major-releases,query system
10869,Recently changed items displayed in italic in reports,new,enhancement,normal,undecided,report system
10870,"Download in other formats: Plain Text Link in 1.0 RC Used to view in browser, now downloads file",new,enhancement,normal,next-stable-1.4.x,web frontend
10872,Add New Page and Link to current page,new,task,normal,unscheduled,wiki system
10873,authzpolicy.conf can not include a common permission setup,new,enhancement,normal,undecided,admin/console
10905,Enabled CommitTicketUpdater only for some repositories,new,enhancement,normal,next-major-releases,version control
10914,Changeset columns overlapping,new,defect,normal,next-major-releases,version control/changeset view
10915,Provide example repository paths,new,enhancement,normal,next-major-releases,admin/web
10916,The date/time fields in Custom Query has problem with babel date format.,new,defect,normal,next-stable-1.4.x,i18n
10933,Custom Query: Column with last status change,new,enhancement,normal,unscheduled,query system
10948,[PATCH] Clone functionality should also be available for users with TICKET_CREATE permission,new,enhancement,normal,next-dev-1.7.x,ticket system
10949,Priority sorting breaks when grouping is enabled,new,defect,normal,next-stable-1.4.x,report system
10950,[hg] encoding setting is not used for files in hg,new,defect,normal,plugin - mercurial,plugin/mercurial
10983,PATCH (and RFC) for IQueryPreprocessor extension point,new,enhancement,normal,next-major-releases,ticket system
11022,milestone names containing space break layout,new,defect,normal,unscheduled,web frontend/tracd
11024,Losslessly compress images,new,enhancement,normal,next-dev-1.7.x,general
11025,Multi-project support,new,enhancement,normal,topic-multiproject,general
11043,Add option to hide a commiter's email address,new,enhancement,normal,unscheduled,plugin/git
11049,TracD on Windows 8 (x64),new,defect,normal,next-major-releases,web frontend/tracd
11061,"TypeError: Git object id must be byte or a text string, not: int",new,defect,normal,next-major-releases,plugin/git
11078,Perform fine-grained permission checks on resource in get_navigation_items,new,enhancement,normal,next-major-releases,wiki system
11086,Filter options for roadmap,new,enhancement,normal,unscheduled,roadmap
11091,Patch files with svn property changes are not rendered correctly,new,defect,normal,next-stable-1.4.x,rendering
11114,Translation of Trac to Arabic/عربى [ar_EG],new,task,normal,translations,i18n
11119,Indicate enabled or disabled status of plugins on web admin panel,new,enhancement,normal,next-major-releases,admin/web
11125,Truncate very long text in the ticket properties dialog,new,enhancement,normal,next-stable-1.4.x,ticket system
11133,Color overdue dates red,new,enhancement,normal,next-major-releases,general
11141,Add ConfigSection to all sections,new,enhancement,normal,next-major-releases,general
11142,Add download link in attachment section,new,enhancement,normal,next-major-releases,attachment
11146,No Trac environment found at /var/www [Errno 2] No such file or directory: '/var/www/VERSION',new,task,normal,not applicable,web frontend
11148,Generic ChangeListener events,new,enhancement,normal,next-dev-1.7.x,general
11163,Option to set HTML title.,new,enhancement,normal,next-major-releases,wiki system
11185,improve speed of TicketQuery for format=table,new,enhancement,normal,next-major-releases,query system
11197,Batch Modification of Custom Text Area,new,enhancement,normal,undecided,ticket system
11205,"""repository sync"" fails for Subversion repository with unicode path",new,defect,normal,next-stable-1.4.x,version control
11206,Reduce join in query process,new,enhancement,normal,next-major-releases,query system
11213,Updating Saved Query results does not save column order,new,defect,normal,next-major-releases,query system
11240,ParsingError: File contains parsing errors: /home/svn/dbtg/mkhayati/conf/authz	[line 18]: '[]\n',new,defect,normal,next-stable-1.4.x,general
11252,Adding Comments Description,new,enhancement,normal,unscheduled,general
11263,AuthzPolicy should allow restricting access to only the most recent version of a resource,new,enhancement,normal,next-major-releases,general
11271,Batch modify notification emails could present a better description of the property change,new,defect,normal,next-stable-1.4.x,notification
11280,"""ValueError: incomplete format key"" occurs repeatedly",new,defect,normal,next-stable-1.4.x,general
11287,Configurable regex (option) for TracStandalone server auth,new,defect,normal,undecided,web frontend/tracd
11301,intermittent failure with notification test,new,defect,normal,next-major-releases,ticket system
11305,`#!table` with `|| cell ||` is rendered as a broken table,new,defect,normal,next-stable-1.4.x,wiki system
11321,browser doesn't highlite the last opened ticket,new,defect,normal,unscheduled,ticket system
11323,WikiProcessor argument to limit line width,new,enhancement,normal,next-major-releases,wiki system
11334,Timeline TracLinks with timezone offsets and without seconds resolution don't link to highlighted entries,new,defect,normal,next-stable-1.4.x,timeline
11338,[Patch] Switch language based on URL prefix,new,enhancement,normal,undecided,i18n
11339,Swappable Configuration implementations,new,enhancement,normal,next-dev-1.7.x,general
11343,"Retarget tickets when executing the ""trac-admin milestone remove/completed"" commands",new,enhancement,normal,next-dev-1.7.x,admin/console
11353,Hierarchical tree of repositories,new,enhancement,normal,next-major-releases,version control/browser
11359,unintentional Camelcase links with slashes e.g. Bla/Blo,new,defect,normal,undecided,wiki system
11372,sort for owner shall be case-insensitive,new,enhancement,normal,next-stable-1.4.x,query system
11374,Image macro doesn't display image containing a colon,new,defect,normal,next-stable-1.4.x,wiki system
11378,SQLite backend does not use auto-incrementing primary keys,new,defect,normal,next-major-releases,database backend
11409,"Add a ""Versions released"" filter to the timeline",new,enhancement,normal,next-dev-1.7.x,timeline
11425,Include edits to ticket comments as events in the timeline,new,enhancement,normal,undecided,timeline
11428,Limit search realm when using quick search bar,new,enhancement,normal,undecided,search system
11439,"Git changeset ""Branches"" property should link to branch logs",new,enhancement,normal,next-stable-1.4.x,version control/changeset view
11445,Empty lines are invisible when hiding line column on browser view,new,defect,normal,next-stable-1.4.x,version control/browser
11446,Cummulative diff view for non-contiguous changesets,new,enhancement,normal,next-major-releases,version control/changeset view
11452,Implement a set_field workflow action,new,enhancement,normal,next-major-releases,ticket system
11466,in-place modifying of ticket fields like in Apache Bloodhound Trac,new,enhancement,normal,undecided,ticket system
11469,Add a custom field admin panel,new,enhancement,normal,1.7.1,ticket system
11477,Extend ITicketManipulator (or similar) - Filter Comments,new,enhancement,normal,unscheduled,ticket system
11508,"Add a ""permission copy"" command to TracAdmin",new,enhancement,normal,next-major-releases,admin/web
11522,Unexpected block-quoted text,new,defect,normal,next-stable-1.4.x,wiki system
11526,New style italics markup doesn't render correctly with CamelCase words,new,defect,normal,next-stable-1.4.x,wiki system
11536,Wrong label on wiki diff view between initial version and version 1,new,defect,normal,next-stable-1.4.x,wiki system
11574,Inconsistencies between datetime and datetimepicker close and focus behavior,new,defect,normal,next-stable-1.4.x,general
11576,Cut and paste of external links leads to zero-width character in string,new,defect,normal,next-stable-1.4.x,general
11577,Status is omitted in plain text emails,new,defect,normal,undecided,notification
11585,Backport Apache Bloodhound web bootstrap handlers,new,enhancement,normal,undecided,web frontend
11588,Backport Apache Bloodhound resource neighborhood implementation,new,enhancement,normal,undecided,general
11612,ability to set and retain preferred comment order,new,defect,normal,next-stable-1.4.x,ticket system
11637,Hide versions and components,new,enhancement,normal,next-major-releases,ticket system
11641,"html5 support for ""export"" links in trac wiki",new,defect,normal,undecided,wiki system
11644,Add an email domain blacklist/whitelist to prevent proprietary info leaks in notifications,new,enhancement,normal,unscheduled,ticket system
11669,Change priority of tickets by dragging and dropping at the roadmap level,new,enhancement,normal,unscheduled,roadmap
11670,Wiki edit page should more clearly show when page doesn't exist,new,enhancement,normal,next-stable-1.4.x,wiki system
11675,IAttachmentStorage interface for pluggable attachment storage,new,enhancement,normal,next-dev-1.7.x,general
11676,Reusable commenting module,new,enhancement,normal,next-major-releases,general
11686,Official support for uwsgi,new,enhancement,normal,next-stable-1.4.x,web frontend
11706,"""Can't synchronize"" warning message persists longer than it should",new,defect,normal,next-dev-1.7.x,version control
11713,Repositories can still be added when no IRepositoryConnectors enabled,new,defect,normal,next-major-releases,admin/web
11714,Log unknown attributes in ticket workflow,new,enhancement,normal,next-stable-1.4.x,ticket system
11720,Table with inline diff can misposition the wiki editor textarea,new,defect,normal,next-stable-1.4.x,wiki system
11722,Batch ticket delete,new,enhancement,normal,next-major-releases,query system
11730,Don't quickjump if multiple words in search phrase,new,enhancement,normal,next-major-releases,search system
11731,TracLinks notations for showing a wiki diff,new,enhancement,normal,unscheduled,wiki system
11772,tracd js script resource loading intermittently crashes python,new,defect,normal,not applicable,database backend
11814,Wiki edit form area height preference is not saved without an explicit preview,new,defect,normal,next-stable-1.4.x,wiki system
11826,Optimize ticket.query.execute,new,enhancement,normal,next-major-releases,query system
11861,Add email fields property to TicketSystem,new,enhancement,normal,next-dev-1.7.x,ticket system
11862,Allow keywords to be highlighted in code WikiProcessor,new,enhancement,normal,next-major-releases,rendering
11866,Export information on /about page as wiki markup and plain text,new,enhancement,normal,next-major-releases,general
11871,Notification subscriber for @name mentions,new,enhancement,normal,next-dev-1.7.x,notification
11879,Prevent ticket workflow hints from wrapping,new,enhancement,normal,next-major-releases,ticket system
11887,List Ticket Attachments in TracNotification,new,enhancement,normal,next-major-releases,notification
11889,On-site notifications,new,enhancement,normal,next-major-releases,notification
11919,Make diff paths available in the UI.,new,enhancement,normal,next-major-releases,web frontend
11937,Improve suggestion of similarly named pages,new,enhancement,normal,next-major-releases,wiki system
11939,Workflow graph should account for user/group permissions,new,defect,normal,next-major-releases,ticket system
11943,Ticket delete notifications,new,enhancement,normal,next-major-releases,notification
11946,Allow multiple permissions to be assigned in single submit,new,enhancement,normal,next-major-releases,admin/web
11953,Responsive design for user interface,new,enhancement,normal,undecided,general
11957,Update relative date and time,new,enhancement,normal,undecided,general
11959,"Add custom fields to ""Group results by"" drop down in Custom Query page.",new,enhancement,normal,next-major-releases,ticket system
11963,#!td processor inserts unwanted <p>...</p>,new,defect,normal,next-major-releases,wiki system
11968,Contextual navigation link to log view from changeset view,new,enhancement,normal,next-major-releases,general
11985,Create a [database] section in trac.ini,new,task,normal,next-major-releases,database backend
11989,Improve handling of option specified in multiple global (shared) configuration files,new,defect,normal,undecided,general
11992,Allow git commit hashes to be abbreviated to 7 characters,new,defect,normal,next-major-releases,plugin/git
12004,Replace uses of assert with exception-raising statements,new,enhancement,normal,next-major-releases,general
